GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Alter,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,woechentlicheArbeitszeit,Optimismus,Pessimismus,Schulabschluss,label,GESIS-CODE,Leben genie�en,Ver�rgert,Nerv�s,�ngstlich
GBS+00199,,0,1955.0,61.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,1,,,,,
GBS+00232,POSITIV,0,1974.0,42.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,3.0,1,,,,,
GBS+00259,,1,1967.0,49.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,2.0,4.0,5.0,4.0,2.0,4.0,5.0,5.0,1.0,5.0,2.0,3.0,7.0,2.0,3.0,1,,,,,
GBS-01709,,1,1965.0,52.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,6.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,5.0,1.0,4.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,3.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,5.0,2.0,3.0,1,,,,,
GBS-01820,POSITIV,0,1970.0,47.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,1.0,5.0,2.0,5.0,2.0,4.0,1.0,4.0,6.0,2.0,5.0,1,,,,,
GBS-03833,,0,1985.0,31.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,4.0,7.0,1.0,5.0,1,,,,,
GBS-04671,,0,1974.0,43.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,2.0,5.0,1.0,5.0,2.0,4.0,2.0,4.0,6.0,2.0,5.0,1,,,,,
GBS-04771,POSITIV,0,1970.0,47.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,1,,,,,
GBS-04825,,1,1967.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,1,,,,,
GBS-04964,,0,1991.0,26.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,6.0,2.0,5.0,1,,,,,
